GRN
Demotion, u 1
Gird for Battle, u 1
Haazda Marshal, u 2
Healer's Hawk, c, 4
Hunted Witness, c, 4
Righteous Blow, c, 4
Take Heart, c, 4
Dawn of Hope, r, 1
Skyline Scout, c, 4
Sunhome Stalwart, u, 4
Tenth District Guard, c, 3
Blade Instructor, c, 4
Citywide Bust, r, 4
Luminous Bonds, c, 4
Roc Charger, u, 4
Sworn Companions, c, 4
Candlelight Vigil, c, 3
Collar the Culprit, c, 4
Conclave Tribunal, u, 3
Crush Contraband, u, 3
Inspiring Unicorn, u, 4
Ledev Guardian, c, 4
Parhelion Patrol c, 4
Divine Visitation, m, 4
Intrusive Packbeast, c, 4
Venerated Loxodon, r, 3
Light of the Legion, r, 1
Loxodon Restorer, c, 4
Flight of the Equenauts, u, 1
Dazzling Lights, c, 4
Maximize Altitude, c, 4
Thoughtbound Phantasm, u, 4
Disdainful Stroke, c, 4
Drowned Secrets, r, 4
Enhanced Surveillance, u, 1
Mission Briefing, r, 1
Narcomoeba, r, 2
Nightveil Sprite, u, 4
Passwall Adept, c, 2
Radical Idea, c, 4
Unexplained Disappearance, c, 4
Vedalken Mesmerist, c, 2
Wall of Mist, c, 3
Dimir Informant, c, 3
Guild Summit, u, 4
Leapfrog, c, 3
Quasiduplicate, r, 3
Sinister Sabotage, u, 4
Capture Sphere, c, 4
Chemister's Insight, u, 4
Devious Cover-Up, c, 4
Murmuring Mystic, u, 3
Muse Drake, c, 4
Wishcoin Crab, c, 4
Omnispell Adept, r, 1
Watcher in the Mist, c, 4
Citywatch Sphinx, u, 4
Dream Eater, m, 1
Selective Snare, u, 2
Barrier of Bones, c, 4
Dead Weight, c, 4
Hired Poisoner, c, 4
Necrotic Wound, u, 4
Vicious Rumors, c, 4
Burglar Rat, c, 4
Child of Night, c, 4
Mausoleum Secrets, r, 1
Severed Strands, c, 2
Whispering Snitch, u, 4
Blood Operative, r, 3
Mephitic Vapors, c, 4
Midnight Reaper, r, 3
Never Happened, c, 4
Plaguecrafter, u, 2
Spinal Centipede, c, 4
Veiled Shade, c, 4
Bartizan Bats, c, 2
Creeping Chill, u, 4
Moodmark Painter, c, 4
Ritual of Soot, r, 3
Undercity Necrolisk, u, 4
Deadly Visit, c, 3
Doom Whisperer, m, 2
Douser of Lights, c, 4
Gruesome Menagerie, r, 2
Kraul Swarm, u, 1
Lotleth Giant, u, 3
Goblin Banneret, u, 3
Maximize Velocity, c, 4
Torch Courier, c, 4
Elecctrostatic Field, u, 4
Fire Urchin, c, 2
Goblin Cratermaker, u, 3
Goblin Locksmith, c, 3
Lava Coil, u, 4
Maniacal Rage, c, 3
Ornery Goblin, c, 3
Runaway Steam-Kin, r, 4
Sure Strike, c, 4
Direct Current, c, 4
Fearless Halberdier, c, 4
Legion Warboss, r, 4
Risk Factor, r, 4
Wojek Bodyguard, c, 4
Arclight Phoenix, m, 4
Cosmotronic Wave, c, 1
Erratic Cyclops, r, 2
Experimental Frenzy, r, 2
Gravitic Punch, c, 3
Rubblebelt Boar, c, 2
Barging Sergeant, c, 4
Command the Storm, c, 2
Hellkite Whelp, u, 3
Street Riot, u, 1
Book Devourer, u, 1
Inescapable Blaze, u, 2
Might if the Masses, u, 2
Pelt Collector, r, 4
Portcullis Vine, c, 2
Prey Upon, c, 4
Devdarkin Dissident, c, 2
Grappling Sundew, u, 2
Ironshell Beetle, c, 1
Kraul Harpooner, u, 4
Urban Utopia, c, 4
Crushing Canopy, c, 4
District Guide, u, 3
Generous Stray, c, 4
Hitchclaw Refuse, c, 3
Pack's Favor, c, 4
Pause for Reflection, c, 4
Sprouting Renewal, u, 2
Wary Okapi, c, 4
Beast Whisperer, r, 1
Circuitous Route, u, 4
Gogari Raiders, u, 2
Nullhide Ferox, m, 1
Wild Ceratok, c, 4
Karul Foragers, c, 4
Affectionate Indrik, u, 2
Vigorspore Wurm, c, 4
Hatchery Spider, r, 4
Siege Wurm, c, 1
Arboretum Elemental, u, 1
Dimir Guildgate, c, 4
Watery Grave, r, 4
Dimir Spybug, u, 3
Discovery/Dispersal, u, 4
House Guildmage, u, 2
"Lazav, the Multifarious", m, 1
Thought Erasure, u, 4
Darkblade Agent, c, 4
Dimir Locket, c, 4
Disinformation Campaign, u, 4
Notion Rain, c, 4
Thief of Sanity, r, 2
Unmoored Ego, r, 1
Whisper Agent, c, 4
Artful Takedown, c, 4
Conive/Concoct, r, 2
"Etrata, the Silencer", r, 1
Nightveil Predator, u, 3
Izzet Guildgate, c, 4
Steam Vents, r, 4
Invert/Invent, u, 4
Beamsplitter Mage, u, 3
Firemind's Research, r, 3
Goblin Electromancer, c, 4
League Guildmage, u, 2
Beacon Bolt, u, 4
Ionize, r, 4
Izzet Locket, c, 4
Piston-Fist Cyclops, c, 4
Sonic Assault, c, 4
Wee Dragonauts, u, 3
Crackling Drake, u, 4
Hypothesizzle, c, 3
"Ral, Izzet Viceroy", m, 1
"Niv-Mizzet, Parun", r, 2
Thousand-Year Storm, m, 4
Expansion/Explosion, r, 4
Golgari Guildgate, c, 4
Overgrown Tomb, r, 4
Status/Statue, u, 3
Asassin's Trophy, r, 2
Find/Finality, r, 3
Glowspore Shaman, u, 4
Swarm Guildmage, u 2
Charnel Troll, r, 2
Erstwhile Trooper, c, 1
Golgari Locket, c, 4
Ochran Asassin, u, 1
Pitiless Gorgon, c, 2
Golgari Findbroker, u, 4
Rhizome Lurcher, c, 4
Undercity Uprising, c, 3
"Vraska, Golgari Queen", m, 3
Underrealm Lick, m, 1
"Izoni, Thousand-Eyed", r, 2
Molderhulk, u, 4
Boros Guildgate, c, 4
Sacred Foundry, r, 4
Integrity/Intervention, u, 4
Boros Challenger, u, 2
Fresh-Faced Recruit, c, 4
Justice Strike, u, 3
Legion Guildmage, u, 4
Response/Resurgance, r, 1
Swiftblade Vindicator, r, 2
Boros Locket, c, 4
Deafening Clarion, r, 3
Skyknight Legionaire, c, 4
"Tajic, Legion's Edge", r, 2
"Aurelia, Exemplar of Justice", m, 2
Hammer Dropper, c, 2
Truefire Captain, u, 2
Garrison Sergeant, c, 3
Swathcutter Giant, u, 3
Selesnya Guildgate, c, 4
Temple Garden, r, 4
Flower/Flourish, u, 3
Assure/Assemble, r, 4
Conclave Guildmage, u, 2
"Emmara, Soul of the Accord", r, 1
Vernadi Shieldmate, c, 2
Centaur Peacemaker, c, 2
Knight of Autumn, r, 1
Selesnya Locket, c, 4
Conclave Cavalier, u, 3
Sumala Woodshaper, c, 2
Join Shields, u, 1
Rosemane Centaur, c, 2
Camaraderie, r, 3
Wordsoul Colossus, u, 4
March of the Multitudes, m, 2
Chamber Sentry, r, 4
Gateway Plaza, c, 3
Guildmages' Forum, r, 1
Silent Dart, u, 3
Glaive of the Guildpact, u, 2
Rampaging Monument, u, 1
Gatekeeper Gargoyle, u, 2







